Film,Director,tmdbrating,overview,genre
Fuego adentro (En lo alto del día),Jesús Mario Lozano,4.8,A lonely and repentant man hides in a lost town until his younger brother finds him to bring him news of his beloved Marta.,Drama
Luna 3 (Lunik 3),Víctor Zavala Kugler ,0.0,"In 1959, in the midst of the cold war, where the two most powerful nations try to show their supremacy through the space race, the arrival of a Soviet Technological Exhibition to Mexico City will allow a Mexican agent, due to his charm and wit, to change forever the destiny of the conquest of the cosmos.",
La afinadora de árboles ,Natalia Smirnoff,5.8,"Clara receives the world prize for children's literature. To find some peace, she moves with her family to the countryside.",Comedy
Días de invierno,Jaiziel Hernández Máynez ,5.0,"Nestor wants to go live with his sister in the US, nevertheless, he is the only one who lives with his mother and he can't leave her alone.",Drama
El deseo de Ana,Emilo Santoyo,7.1,"Ana and her son Mateo live in a middle class apartment in Mexico City. The family routine takes a turn when Juan arrives to visit them after several years of absence. The reunion unleashes memories and secrets of their past that Ana will have to confront in order to find, at last, the peace of mind that has been lacking for so long.",Drama
Observar las aves,Andrea Martínez Crowther ,5.0,An ode to the terrible yet beautiful but fleeting life.,Documentary
No son horas de olvidar ,David Castañón,0.0,"Juana, Laura, Fahriye and Carlos use occupational therapy to elaborate fictional reconstructions of episodes of their lives in order to fight against their Alzheimer's disease.",Documentary
Mi no lugar,Isis Ahumada Monroy ,0.0,"A boy migrates from Guerrero to Colima in Mexico, guided by the illusion of his parents, who want him to study high school. Nevertheless, the inequality barriers force him to work as a sugarcane harvester.",
Ráfagas serranas,Dalia Reyes,0.0,"In the Sierra of Oaxaca, a group of kids play basketball tournaments.",
Serpiente emplumada ,Ricky López Bruni,0.0,Throughout the centuries the quetzal has survived from its mythological symbolism in the Mexica and Maya pantheons to the fragile species that inhabit the cloud forests of Mesoamerica and Central America. Guatemalan photographer Ricky López studies the most important and mythological bird.,
Love Me Not,Lluís Miñarro,7.0,"Yuna and Akari are two high school girls with very different views on love: Yuna dreams about romance through rose-coloured glasses, while Akari is down-to-earth and practical. Meanwhile, high school boys Kazuomi and Rio also have different views on love: Kazuomi is an airhead who can't grasp the concept of love, while Rio grabs onto any confession as an opportunity—so long as the girl looks cute. Will these four classmates end up leading a youthful romance that meets their expectations?",Animation
La diosa del asfalto ,Julián Hernández,6.921,"Max returns to her slum turned into the vocalist of a rock band. There, the memories await, the latest news and the truths that were silent for years: Sonia is a voice that speaks from the death.",Drama
Polvo,José María Yazpik ,7.4,"After a ten year absence, El Chato returns to San Ignacio, his hometown, in order to retrieve a shipment of cocaine that was dropped there by a cartel pilot.",Drama
Motel Acqua,Conrado Martínez ,4.6,"Perico has seen an adjustment of accounts between Narcos. The result; five million dollars. He decides to steal them. From that moment, his life will change forever but the price to pay will be very high. A thriller and action movie where money is the true god.",Thriller
Siete Filos,Antonio Coello,0.0,"A Seri indigenous girl goes through a rite of passage where she must not sleep during the fourth night, because any nightmare she may have can become real.",
Divino amor,Gabriel Mascaro,6.057,"In 2027 Brazil, civil servant Joana mainly deals with divorce cases. As a member of a branch of evangelical Christians known as the Divino Amor group, she uses her position to offer a kind of physical therapy to couples who want to separate. Although Joana and  her husband Danilo regularly consummate their marriage, neither her constant prayers nor any other methods of assistance seem to be able to fulfill their desire for a child.",Drama
Frontera,Marcos Almada,6.563,"After crossing the border illegally for work, Miguel, a hard-working father and devoted husband, finds himself wrongfully accused of murdering a former sheriff’s wife. After learning of his imprisonment, Miguel’s pregnant wife tries to come to his aid and lands in the hands of corrupt coyotes who hold her for ransom. Dissatisfied with the police department’s investigation, the former sheriff tries to uncover the truth about his wife’s death and discovers disturbing evidence that will destroy one family’s future, or tear another’s apart.",Western
#Mickey,Betzabé García ,0.0,"#Mickey is a hybrid documentary about a genderfluid Youtube celebrity from Mexico. Born in 1994 in Mazatlán, Sinaloa, Mickey began recording herself at age 11. She found in social networks a way to explore her gender identity and overcome the deep homophobia of her environment and became a Youtube sensation with more than 250 thousand online followers.",Documentary
Después del incendio ,Sebastián Padilla ,3.8,"Dante spends his days between factories, skateboards and corpses, but the only thing he cares about is the Death Metal band he plays in with his best friends. Lucy, the girlfriend of his comatose brother, comes to visit, and here presence will cause chaos, confusion, but also hope.",Drama
Speedy,Rodolfo Castillo-Morales ,7.423,"Speedy loses his job as a soda jerk, then spends the day with his girl at Coney Island. He then becomes a cab driver and delivers Babe Ruth to Yankee Stadium, where he stays to see the game. When the railroad tries to run the last horse-drawn trolley (operated by his girl's grandfather) out of business, Speedy organizes the neighborhood old-timers to thwart their scheme.",Comedy
El paraíso de la serpiente ,Bernardo Arellano,5.7,"A strange man appears after an accident in an abandoned highway in the Mexican desert, he’s rescued by a fighting cocks trainer and his grandson, who helps him recover. The man begins to perform healing miracles around the ejido, so he starts being called a Prophet. The priest of the community and the altar boy oppose his stay in the community of this uncomfortable resident.",
Tío Yim,Luna Marán,7.0,,Documentary
Un disfraz para Nicolás ,Eduardo Rivero Cruz ,7.0,"After losing his mother, a boy with Down syndrome takes his trunk of magical costumes to live with his grandparents in this animated tale.",Animation
Teléfono,Jerzain Ortega,2.0,"Series of 20 mini stories of dark humor connected and told through more than 50 phone calls, local, long distance and abroad, and with different subgenres: terror, suspense, drama, comedy, erotic, science fiction and crime.",
Claudia no se quiere morir,Adolfo López Campaña ,5.0,Claudia dies just before she was about to receive her wedding ring. She decides to come back to Earth with the help of an angel.,
Seré breve al momento de morir ,Juan Briseño,5.0,"Sebastián is accepted into an important dance company so he decides to leave his family. When Arsenio joins the company, they begin a torrid romance.",Drama
Tomorrow,Frank Rodríguez,7.5,"A lonely farmer takes in a pregnant woman and looks after her. After she gives birth, tragedy strikes.",Drama
¿Qué les pasó a las abejas?,"Robin Canul, Adriana Otero ",0.0,"After millions of bees suddenly died in the state of Campeche, Mexico, the Mayan beekeeping communities and their representatives decided to organize to find the cause and confront the authorities and the transnational company Monsanto, who have put their subsistence in danger by the sowing transgenic soy in their territory.",Documentary
La piel ajena,Arturo Castelán,0.0,,Drama
Marioneta (Vagoneros),Álvaro Curiel,,,
Un sentimiento honesto en el calabozo del olvido,Luis Bárcenas,5.0,"A woman with a degree in biology and a particular taste for arachnids gets involved with some unfinished business left by her dead mother, leading her to face unlikely events that revolve around the banana mafia in a South American country, such as an etheric eminence that anticipates tragedies, a cryptozoological being that is mentioned with skepticism and a terrorist society that seeks to dismantle the fraudulent and sinister structure of land concessions.",
Un verano,Rodrigo Fiallega ,0.0,Three friends and their last summer before adulthood.,
Un viaje en taxi, Mak CK,0.0,"Erick's life changed forever when he got into a taxi. The driver and two accomplices sexually assaulted him. The then 17-year-old never went to the police, never saw a doctor and never told his family or friends. After feeling broken for 10 years, he goes on a journey to reclaim his life - changing the world around him along the way.",Documentary
uzi,Pepe Valle,5.7,"Uzi is the name of a firearm, but also is the diminutive of Uziel, who used to be a hitman in his youth. Now he lives crushed by guilt. His crisis deepens when he helps in a childbirth: the force of life fascinates him, and he does not understand how he was able to destroy it in the past.",Drama
Virgen de San Juan cuatro siglos de milagros, Noé González,6.6,"In this dramatization, the Virgin Mary works a miracle on a girl in 1623 Mexico. Four centuries later, a family make a pilgrimage for their own child.",Drama
Voces de mixquic,Benito Núñez,,,
Volverte a Ver (antes Llueve), Carolina Corral,,,
Y si fueras tú, Hugo Carrillo Brumbaugh,0.0,Hugo hopes to be rescued from a fallen building after an earthquake in Mexico City.,
yib,Ozan Mermer,0.0,"In an autonomous zone between Mexico and Guatemala, where the border did not exist before and today seems impassable, two eleven-year-old girls with Mayan roots try to change their lives with music.",Documentary
Yo necesito amor,Pepe Valle,5.0,"Arcelia is a single mother. She's feed up of being alone and feels a deep need to be loved. Starts relationships, explores knowing people online, and looks for partners of the past. Nothing works. Relationships are ephemereal, men leave. A question arises inside Arcelia: Is her little son the main obstacle to her happiness?",
Sanguinetti, Christian Díaz Pardo,5.0,"A lonely man receives an unexpected visit from her daughter Valentina, a Chilean journalist who has been investigating human rights cases.",Drama
sanjuaneros,Michael Amici Y Daniel Kandell,0.0,"Each year during the month of January approximately 3 million pilgrims visit the Virgin of San Juan de los Lagos, one of the most important religious sites in Mexico. Guided only by their faith, love and devotion, and facing tremendous physical and emotional adversity, each pilgrim reveals their personal motivations and interpretations of what brotherhood, faith and God means to them in the 21st century.",
Santa Bárbara, Anaïs Pareto Onghena,4.8,"The beautiful daughter of the Roman governor during a time of fierce Christian persecution is a nonbeliver. But when a slave raised alongside her like a sister is condemned to death for her Christian faith, she valiantly attempts to save her.",History
Se busca papá, Javier Colinas,7.5,What does a thrill-seeker tween girl do when her mom forbids her to enter a BMX race? Cast an actor with nothing to lose to play her approving dad.,Drama
Se escuchan aullidos,Julio Hernández Cordón,5.0,A young girl who goes on a journey to find the lake of Texcoco.,Drama
Sendero, Aída Alonso,4.5,"Ana is a young woman who has just been given a scholarship to study in a foreign country. She decides to celebrate with their friends out of the city. On the road, after helping an injured woman, they are kidnapped by a weird family.",Horror
Será que volverás, Jorge Colón,,,
Silence Radio, Juliana Fanjul,1.0,"RADIO SILENCE A select team of U.S. Army Special Forces Soldiers are sent on a mission to retrieve pieces of a downed U.S. spy satellite from a remote desert region of northern, Mexico. They are excepting a routine, even boring on a mission, asking only ""on a Sunday, sir?"". What they encounter is the sudden loss of half their team, their Mexican escorts and nearly all of their equipment. They are forced to retreat on foot and spend a long night hiding in a local restaurant trying to understand what they are up against and how to survive with no gear, no support and no time. —Troy Scoughton, Sr.",
Sin hijos,Roberto Fiesco,6.6,"Gabriel has been separated for four years now. Since then his 8 year old daughter is the center of his life. Completely avoiding getting involved in a new romantic relationship, Gabriel focus all his energy in his daughter and work. This plan gets spoiled when Vicky, a platonic love from his adolescence, now a beautiful and independent woman appears in his life. When romance is about to start, she puts one condition: She would never get involved with a man with children. She just does not want children in her life. When Gabriel is confronted with this, he says he has no children. From that moment on his life becomes a torment, playing every trick at hand in order to hide his child and belongings from Vicky in every date.",Romance
Sin señas particulares,Fernanda Valadez,7.0,"Magdalena, a mother in search of her missing son, meets Miguel, recently deported from the US and looking for his mother. Together, they make their way through the desolate and unforgiving militia-ridden landscapes south of the border.",Drama
Sísifos, Nicolás Gutiérrez Wenhammar y Santiago Mohar Volkow ,5.5,"Sisyphus is a journey through the rehabilitation of addictions in Mexico. In the absence of a public infrastructure to combat this problem, the annexes are the alternative that addicts themselves have created. The annexes are unofficial rehabilitation centers in which a method of rehabilitation thought apart from medicine or professional therapy is offered.",Documentary
Soledad, Guillermo A. Argüelles,7.0,Love and Anarchy is a dramatic love story based on true events. Two lovers immersed in a repressive political context. A government that portrays them as criminals and the people who regard them as anarchist heroes.,Drama
Somos, Carlos Vázquez,6.2,"A regular day for Bans and Uzu, little did they know a series of events would bring them face to face with an alternate reality and their chance to confront Dixon, a disturbed psychopath with blood on his hands and demons in his mind.",Horror
Sonriendo con el corazón (antes Con olor a Guanajuato), Alex Sánchez,,,
Soren Juan, Carlos Valdivia,,,
Temporada de campo,Isabel Vaca,0.0,"Bryan, an eleven-year-old boy, dreams of meeting his father who left to the U.S. and never came back. While his mother works hard to pay for his education, he wants to drop out of school to become a cowboy just like the rest of the men in his family.",
Territorio, Andrés Clariond,5.9,"Manuel and Lupe want to have a baby. When Manuel discovers he is infertile, he starts to fall apart both physically and emotionally. After exploring several options, Manuel turns to Rubén, his new friend, to act as their donor.",Drama
The Containment (La Contención), Jack Zagha,,,
"Tigre de noche, arena de día", Miguel Icaza,,,
Tijuana I Love you,René Bueno,2.0,,
Todo,Frank Rodríguez,5.0,,
Un México perro,Rafa Aparicio Y Andrés Klimek,,,
Un Retrato de familia,Adrián Zurita,6.0,Mexican feature film,Family
No dejaré de buscarte,Bibiana Barba,5.0,Itzel is a single mother looking for her ten year old son. Her life changes when the man who took him calls asking her to stop looking while he asks for forgiveness for what he did.,
Noche de fuego,Tatiana Huezo,7.8,"In a mountain town, where corn and poppies grow, the girls wear boyish haircuts and have hiding places underground to escape the threat of being stolen. Ana and her two best friends grow up together, affirming the bonds of their friendship and discovering what it means to be women in a rural town marked by violence. Their mothers train them to flee death, to escape those who turn them into slaves or ghosts. They create their own impenetrable universe, but one day one of the girls doesn’t make it to her hiding place in time.",Drama
Nómadas, Emiliano Ruprah,6.667,"Susan is a filmmaker working on a documentary about subway suicides at Mexico City.  Roberto is an undocumented Mexican immigrant who cleans windows in New York. Roberto meets Susan and they start hanging out, sharing their own experiences.",Drama
Nudo Mixteco, Ángeles Cruz,7.0,"The imprint of the past is made present by the return of three migrants to a community in the upper Mixteca region of Oaxaca, where the three stories intersect.",Drama
"Oblatos, el vuelo que surcó la noche",Acelo Ruiz ,10.0,"Waymas works in a subway repair worshop in Mexico City, while Tony sells chicken in a marketplace in Guadalajara. Both were part of the September 23rd Communist League, the larger urban guerrilla group in Mexico during the 1970s. On January the 22nd of 1976, both escaped prison through an elaborated military plan. They recount how they escaped and why  they were fighting for then and now.",Documentary
Obscuro Despertar, Carlos Preciado Cid,5.0,Eva is a young woman who wakes up tied and blindfolded inside a van just to discover that the earth has been invaded by aliens.,Science Fiction
Oliverio y la Piscina, Arcadi Palerm,4.5,"When something unexpected happens in Oliverio’s family, all he wants to do is walk away. He settles on a deckchair by the pool and decides there is no reason to move. Life swirls around him, revealing secrets and presenting new challenges. Through moments of death, excrement and basic physics, Oliverio learns that some truths cannot be ignored.",Drama
Paper Boats, Yago Muñoz,5.0,"A cantankerous widower who lives a lonely life gets a call from his estranged daughter, an undocumented immigrant in the US. She desperately needs his help, she doesn't want to lose her children to the NY foster system.",Comedy
Para No volver, Janette A. López,0.0,"When Explorer left Honduras, she left everything behind. In the middle of the night, she didn’t have the chance to ask where she was going, but she’s never afraid, her father is always there taking care of her. This Honduran family travelled to Mexico looking for a safe place. A place where their two daughters could grow and their lives weren’t on the line. This is a brief chapter of this family’s journey to protect their daughters’ lives and their innocence.",
Patitos Feos, Mauricio Chernovetzky,5.0,"Three eccentric middle-age brothers share a peyote vision that compels them to go out looking for the missing head of their hero, Pancho Villa. But when they venture out into the world, they encounter all sorts of strangeness.",
Patria, Matías Gueilburt,6.7,"Paco Ignacio Taibo II brings his book trilogy to life, highlighting Mexico's history in 1854-1867, a period he considers foundational to the country.",Documentary
Perdida (antes Bunker), Jorge Michel Grau,,,
Poder Mayor Poder Menor, José Celestino Campusano,,,
Poderoso Victoria, Raúl Ramón,6.65,"Feature film located at the beginning of the 20th-century which tells the story of the town ""La Esperanza"", whose dying mining boom receives a fatal blow.",Drama
Príncipe de paz,Clemente Castor,4.7,A mysterious skeleton appears in a mexican neighborhood.,
Quiere Jugar, Adrián García Bogliano,6.9,"Sofia, an insecure young woman, begins babysitting two troublesome siblings that turn her job into a complete living hell. That is until a devilish presence starts messing with the trio and they must band together to fight the demon away.",Horror
"Rapsodia, laberintos del yo", Antonio del Rivero Herrera,0.0,"Under a rhapsodic structure, composed of different thematic parts loosely linked together, this documentary takes us through various histories and geographies that go from Mexico to the nations of the extinct Yugoslavia, to reflect on the effects of globalization and contemporary cultural representations . The film presents a long compilation of individual and collective testimonies that, from different artistic disciplines, direct their efforts to social change.",
"Rebeldía, grita el grano en el surco al agrietar la tierra para recibir los rayos del sol", Pablo Ramos,0.0,"Commander Antonio organized two armed groups and was betrayed, tortured and imprisoned in a maximum security prison, where he took his case and defended himself.",Documentary
Rebelión de los Godínez, Carlos Morett,7.289,"Omar gets an office job at Relotech, where he becomes the boss's favourite, which is great, until it’s not.",Comedy
Red Privada, Manuel Alcalá,7.3,An account of the life and work of the famous Mexican journalist Manuel Buendía (1926-84) that seeks to unravel his murder and the links between Mexican politics and drug trafficking.,Documentary
Sabina Sombra, Oliver Victoria,0.0,"Sabina's Shadow is a documentary film that reflects on the figure of the Shaman and the use of hallucinogenic mushrooms in the traditional practices of the Mazatec culture, in the mountains of Oaxaca, Mexico.",
Los vecinos,Diana Cardozo,0.0,"It is autumn in Santiago de Chile during 1976 under the military regime. Antonio is a veteran university professor with a quiet life, oblivious to everything going on around him. He doesn't read newspapers, doesn't listen to the radio, and doesn't own a television. His world is books, classical music and the plants in his garden. But everything is interrupted by the arrival of new and noisy neighbors who will not let him sleep with their screams.",Drama
"Malintzin, la historia de un enigma", Fernando González Sitges,0.0,"Documentary with dramatization that seeks to highlight the figure of Doña Marina, Malintzin, Malinche, a fundamental character in the conquest and in the creation of miscegenation in Mexico.",
Mamá se fue de viaje,Fernando Sariñana,7.2,"Vera, the Mom, is stressed out of her mind and she decides to take a vacation away from her family, so Victor, the dad, has to take time off work to take care of the family.",Comedy
Más allá del agua,Julio Quezada Orozco,6.0,Three towns in Durango are inhabited by elderly people who hope that their memories and legacy will not be lost as they struggle against the forcefulness of modernity and oblivion.,Documentary
Más que mil palabras,Gerardo Gatica,5.8,"After the unexpected death of their daughter, a couple work to build a state of the art children's hospital where families are welcomed into the healing process.",Drama
Me casé con un idiota,Batán Silva,7.395,,Comedy
Memoria, Apichatpong Weerasethakul,6.0,"One morning, Jessica Holland, a Scottish orchid farmer visiting her sister in Bogotá, is woken by a loud ‘bang’. This haunting sound dispels her sleep for days, calling into question her identity and guiding her from recording studios to secluded jungle villages in an attempt to find its source.",Drama
Mentores, Jorge Díaz Sánchez,0.0,"Inexperienced adult novelist dreams of romantic love Jena aspiring writers to work in a cafe and pensions spare time writes. Chance to work their pensions to meet in a cafe and a role model Waxing Waxing tanked his way to hold onto and stick to the passerby Waxing and fertilization significantly hurt the hand. Jena is trying to protect his injured Waxing for the novel manuscript typing work from cleaning to help the best. One day, he sees Waxing is the novel’s unfinished novel Jena.",
MexZombies, Chava Cartas,7.121,"A group of teenagers must face a zombie apocalypse, and help reestablish order.",Horror
Mírame, Pavel Cantú,7.0,"Lalo is a teenager tormented by the recent death of his dad, and being forced to move to an old house with his grandmother Elena. After taking his dad's old wristwatch, the ghost of a young girl begins to haunt him. Now, Lalo's life is in danger as he tries to unfold the mysterious ghost who keeps frightening him, hoping to stop her from dragging him for good.",Horror
"Monarca, el espíritu del bosque Un viaje de ida y vuelta",Roberto López Fanny Miranda Y Miguel Galarza ,,,
Muerte al verano,Sebastián Padilla,3.8,"Dante spends his days between factories, skateboards and corpses, but the only thing he cares about is the Death Metal band he plays in with his best friends. Lucy, the girlfriend of his comatose brother, comes to visit, and here presence will cause chaos, confusion, but also hope.",Drama
Mujer Rarámuri Regresa a Casa, Santiago Esteinou,,,
Mujeres del alba,Jimena Montemayor,0.0,"1965, Chihuahua Mexico. A group of women struggle to change a country, teaching love to a cause and those who embody it.",
Negra Medhin, Tewolde Serrano,,,
Nelly, Marco E Goya,6.0,"A high-class prostitute by choice, Nelly Arcan’s colorful life is recreated in a multi-layered and stylish mix of make-believe and memoir, revealing Nelly’s alter egos: the neurotic writer, the vulnerable lover, the call girl and the star. Nelly shocked the literary world with her elegant writing and the lurid details of sex work in her autobiographical first novel, Whore, which became a critically acclaimed bestseller. Despite unprecedented success, Nelly’s remarkable life ended in tragedy.",Drama
Nerea Juan, Pablo Cortés,,,
Ni contigo ni con nadie,Esteban Pérez Ghersi,,,
Ni en la más oscura de mis tardes,Venancio Villalobos ,2.0,,Drama
"Ni tuyo, Ni mía", Sandra Solares,8.7,"Amanda realizes that her perfect husband is having an affair. Instead of confronting him, she teams up with his husband's lover to understand what went wrong and win him back.",Drama
Nido de Mantis, Arturo Sotto Díaz,0.0,"August 1994, and we had a multiple homicide in a small town in Cuba: two men and a woman. Azucar’s fathers. The young girl is the only witness. To prove her innocence, Azucar begins telling the life of her parents, the story of a love triangle that started 50 years ago, when Elena, Tomas and Emilio were just kids. In the town, everyone believes that Azucar is the murderer.",
Niña sola, Javier Ávila,0.0,"After the murder of Cintia, 19, her mother and older sister begin to explore their own lives marked by abusive relationships with their partners, trying to find an explanation for the crime and a new meaning to their lives.",Documentary
No Abras La puerta,Humberto Hinojosa,7.096,"Fausto and Esther childhood was tormented. Fausto, trying to escape from his father. Esther, mistreated by her brother-in-law. They both begin to be involved in a supernatural situation. Over which they have no control.",Horror
La nebulosa de Emiliano, Cristina Soto,0.0,"Occasionally, the night falls; the reason leaves our bodies; life takes us to areas of the world that had always frightened us. What reason could be powerful enough to lead us, of our own free will, into the incomprehensible nebula of the human mind? In our case it was my brother: Emiliano. I have always believed that it was worth it.",
La Pequeña Haití, Carlos Hernández Vázquez,,,
La Revo Sing A Song Of Love, José Leos,0.0,"The Revolution of Emiliano Zapata was a mythical Mexican rock band that began as a project among friends, without knowing the destiny that it had prepared. In a short time, the group becomes a national event and its music begins to cross borders. But the Festival of Avándaro was in charge of burying the movement that was developed in most of the rockers. This fact, together with the excesses and egos of its members were present and ended with the success that those who have heard in Europe. A La Revo will only have one last attempt to return to fame, a door that will open and for many more betrayal.",
La semilla invisible, Andrés Kaiser,,,
La sombra del desierto (o El paraíso recobrado), Juan Manuel Sepúlveda ,5.0,"While an exodus of migrants waits to cross the deadly Altar Desert towards the US, the last Natives of the desert survive a diaspora that has them on the verge of vanishing.",Documentary
La venganza de Jairo, Simon Hernandez,0.0,"Jairo José Pinilla Téllez is the pioneer of suspense and science fiction in Colombian film. Pinilla was the first to use special effects in Colombian film and now, at the age of over 70, he is working to finish his last film. This documentary follows Jairo’s footsteps through Colombian film.",Documentary
La Venganza de Mascarita (antes Matando Cabos 2), Alejandro Lozano ,,,
La vida de Rafael, Valentina Wiens,5.0,"Relates the life of one of Puerto Rico's most loved and revered composer and songwriter, Rafael Hernández.",Drama
La vida oculta de la artesanía, Pablo Márquez,0.0,"An intimate portrait about the artisans from Tonalá, Jalisco. A poetic journey through its workshops where tradition merges with the creation of a unique piece that speaks to us about that hidden life that exists behind of making a piece in clay with extraordinary beauty, a millenary tradition that has survived this day and is in danger of extinction.",
La Vocera, Luciana Kaplan,6.5,"The Spokeswoman narrates the trip of María de Jesús Patricio, the first indigenous woman to run for president in Mexico, revealing the nature and complexity of racism and gender discrimination in a changing society.",Documentary
Las flores de la noche, Eduardo Esquivel y Omar Robles,1.0,"On the shores of the largest lake in Mexico live ""the night flowers"", a group of teenage gay and transgender friends who get together to live their freedom and identity.",Documentary
Las Leyendas: El Origen, Ricardo Arnaiz,8.256,"When a human baby crosses the Eternal Mirror, the portal between the living and the death opens its path to the beings from the underworld.",Animation
Las ninfas del celuloide, Tabatta Salinas y Andrea Gautier,,,
Las Sanadoras, Rodrigo Occelli,0.0,Women take the risk to go to jail for making medicinal cannabis for their children. They will not stop fighting until cannabis is legalized.,
Las Últimas Plumas, Alejandro Alatorre,,,
Lecciones para canallas, Gustavo Moheno,4.9,"Fate leads young Jenny to search for her estranged father: small-time swindler Dirty Barry. Jenny believes love conquers all, but Barry knows money is what makes the world go round. Let the lessons for scoundrels begin.",Comedy
Lo que algunos soñaron, Michel Franco,,,
Locas por el Cambio, Ihtzi Hurtado,6.9,"Paula and Paulina, two young women who hate each other, magically swap bodies after a high school reunion.",Comedy
Loco fin de semana, Kristoff Raczynski,5.9,"Fede just broke up with his longtime girlfriend. His two best friends, Memo and Carlos, attempt to cheer him up inviting him to go out and meet some new girls.",Comedy
Loco por ti (antes Las píldoras de mi novio), Diego Kaplan,,,
Los días francos, Ulises Pérez Mancilla,5.5,"When she is fired from her only job in a series of infomercials, Amanda, an actress with little talent and whose film career is forgotten, decides to resume her career in the midst of an economic crisis that leads her to a questionnaire about her vocation, but also, that the shore to rethink its responsibility as the mother of Nicolás, a 7-year-old boy to whom she had not paid much attention until then.",Drama
Los días particulares, Chucho E. Quintero,5.0,Eight friends travel to a cabin in the woods to celebrate their high school graduation.,Romance
Hasta que la suerte nos separe, Gerardo Morán,6.437,"Check out the hilarious story of luck and misadventures of Tino, a family man whose life is transformed after he wins the lottery. Dazzled by wealth, this boaster spends all his money on a life of luxury and ostentation. But after finding out that he is bankrupt, he faces comical situations: besides not telling his wife he is broke because she is pregnant and cannot get upset, Tino must accept help from his neighbor who is an extremely thrifty financial adviser and the only one capable of getting him out of the rut.",Comedy
Hueso de Corvina, Abel Amador Alcalá,0.0,,Drama
Identidad tomada, Gabriel Retes,5.5,"Felino, his girlfriend and his two friends, have their film rejected from every film festival, so they decide to submit it as major filmmaker Tomas Guevara latest film.",Drama
Imaginando la oscuridad, Roque Azcuaga,,,
Inevitable, Manuel Villaseñor,4.5,"Fabian (Dario Grandinetti) works as a bank executive. After one of his colleagues in the bank dies, he falls into crisis. His wife, Mariela (Carolina Peleritti), is a psychologist and has Olga (Mabel Rivera) , an embittered woman who tries to take her frustration out on her, as one of her patients. Fabian will meet a famous blind author (Federico Luppi), who tries to help him. Following his advice, Fabian embarks himself on a relationship with Alicia (Antonella Costa), a young artist that he considers his inevitable love.",Drama
Infección, Flavio Pedota,6.726,"Film about an epidemic outbreak of a new rabies virus in Venezuela and a father trying to save his son from contagion.  A Russian man is in Caracas under the influence of the Krokodil drug, when he gets infected with the rabies virus and starts an epidemic of aggressive and cannibalistic beings. Doctor Adam Vargas is in the midst of all this, when he begins a journey within a ravaged Venezuela to save his son from being infected.",Horror
Infelices por siempre, Noé Santillán-López,,,
Instrucciones para Su, José Ramón Chávez,0.0,A man in a suit and gloves is carrying a briefcase. He stops and sits on a bench in the street. He watches the briefcase until he decides to open it. The object inside will change the situation.,Drama
Insular, Federico Adorno,10.0,,Drama
Jericajazz Jazz en tierra mojada, Jorge Bidault ,0.0,"Jericajazz is a musical documentary film that shows us the history of the jazz scene in Guadalajara’s metropolitan area during the decades of the 70s and 90s, through the testimonies and musical speeches from some of its most famous performers. In a certain way, it is a well-deserved learned recognition to the career of these music masters that gave fame to this city as a cradle of great musicians, as well as an urgent record of our musical history that, beyond traditional, it enunciates as a group of universal sounding elements.",
Juzga, Hari Sinn,0.0,,
La asfixia, Ana Isabel Bustamante,9.0,"Ana sometimes lacks the air. His father, Emil, was arrested and disappeared. Now in the silence and fear that remain in a post-war society, Ana is immersed in memory, where the possibility of finding her remains and getting justice for her father and a whole generation is housed.",Documentary
La candidata, Emil Guevara Malavé y Ronald Rivas Casallas,0.0,"Argenis, Yanvaldo, Carlos, Eduardo and Javier have something in common: they will compete in the Miss Gay Venezuela, a trans beauty contest where the man who most resembles a “Miss” wins. For several weeks, we follow them in their preparations for the final night of the contest, seeing how that illusion is built: that of being a beauty queen for one night. The event is the excuse and the ideal setting to find ourselves with wishes, fantasies and the search for a dream come true. They look for the beautiful and feminine to achieve a desire: to be admired and recognized as the most beautiful trans in the contest.",
La casa del jabonero, Alonso Ruizpalacios,,,
La cuenca de los ríos de piedra, Pablo Benjamín Nieto Mercado,0.0,"This documentary delves into the experiences of four older people whose lives were marked by the rivers, lakes and canals of Mexico City, when water was much more present in the metropolitan area than it is today.",
La esquinita de México, Leonor Maldonado,,,
La fiera y la fiesta, Laura Amelia Guzmán e Israel Cárdenas,4.8,"Remembers an artist in the form of a somnambulistic fantasy: A filmmaker faces increasing challenges as she tries, decades later, to complete Dominican filmmaker Jean-Louis Jorge’s unfinished work.",Drama
La Frontera Invisible, Mariana Flores Villalba,0.0,"On an uninhabited island off the Mexican Pacific coast, members of the army do their uneventful duty. The film watches drills and everyday routines, but mainly the breaks which they spend playing board games in the shade of trees, in hammocks, swimming, flying kites or doing karaoke. The peaceful environment, however, does not hide the violent reality of their country which they are always confronted with, even out here.",Documentary
La invención del mar, Adrián Ortíz,,,
La liga de los 5, Marvick Núñez,7.6,A group of mexican super heroes decide to join forces to combat the forces of evil.,Animation
La línea que divide, César Alejandro,,,
La Mami, Laura Herrero Garvín,6.2,"One of the rooms inside the legendary Barba Azul Cabaret has become a shelter for the girls working there: the women's bathroom. Every night La Mami, who's in charge of the bathrooms, offers them the warmth and the advice they need to take on the challenge they face in the dance hall.",Documentary
